"2"	"1"	"11"	"111"	"11.0"	"11"	"58"	"1"	"60"	"62"	"64"	"111"	"66"	"111"	"111"	"1"	""	""	""	""	""	"2019-8-7 01:56:46"	"1"	"2019-7-24 15:37:09"	"1"
"3"	"69"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2019-7-29 15:10:09"	"52"
"4"	"1"	"13"	"通过"	"3.3"	"11"	"59"	"22"	"60"	"62"	"64"	"11"	"66"	"11"	"11"	"通过"	"1"	"1"	"11"	"12321"	""	"2019-8-7 01:59:43"	"1"	"2019-7-29 15:16:16"	"1"
"5"	"69"	"15"	"客户经理初审-审批分析
"	"0.0"	"11的"	"134"	"阿达瓦大"	"136"	"138"	"140"	"撒"	"142"	"撒"	"达成撒"	"ADsad"	"烦得很高峰"	"阿萨德"	"Edward"	"轻微的群翁多"	""	"2019-7-29 07:56:57"	"52"	"2019-7-29 15:26:31"	"53"
"6"	"69"	"16"	"1"	"1.0"	"1"	"134"	"1"	"136"	"138"	"140"	"1"	"142"	"1"	"1"	"1"	"1"	"11"	"11"	"1"	""	"2019-7-29 08:14:19"	"52"	"2019-7-29 16:09:56"	"53"
"7"	"66"	"17"	"111"	"3.0"	"丰富"	"369"	"无"	"371"	"373"	"376"	"正常"	"378"	""	"无"	"通过"	"通过"	"嗯嗯"	"同意"	"通过"	""	"2019-7-30 08:51:07"	"48"	"2019-7-30 12:01:23"	"48"
"8"	"65"	"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2019-7-30 13:52:44"	"46"
"9"	"65"	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2019-7-30 15:38:46"	"46"
"10"	"65"	"21"	"初步评估同意授信"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2019-7-30 09:51:00"	"46"	"2019-7-30 15:51:20"	"46"
"11"	"65"	"23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2019-7-31 10:43:58"	"46"
"12"	"65"	"25"	"初审通过-test"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2019-7-31 08:21:00"	"46"	"2019-7-31 11:08:09"	"46"
"13"	"65"	"27"	"基本资质符合要求，同意"	"1.0"	"fggf"	"972"	"gfgh"	"974"	"976"	"978"	"fgfg"	"980"	"dfgf"	"dfggfd"	"同意"	"同意"	"同意授信"	"同意授信，建议后期持续跟踪"	"同意以上意见"	""	"2019-7-31 10:14:00"	"46"	"2019-7-31 14:57:22"	"46"
"14"	"65"	"28"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2019-7-31 16:00:30"	"46"
"15"	"84"	"26"	""	"2.1"	"求参数对象：VerifyAgencyDefpayReqBody
响应参数对象：VerifyAgencyDefpayRespBody
HTTP接口路径：/e2e/platform/verifyAgencyDefpay
SDK方法：BankCardService# verifyAgencyDefpay ()
如金额验证成功，但是绑卡失败，可再次调用此接口进行重试。
"	"718"	"求参数对象：VerifyAgencyDefpayReqBody
响应参数对象：VerifyAgencyDefpayRespBody
HTTP接口路径：/e2e/platform/verifyAgencyDefpay
SDK方法：BankCardService# verifyAgencyDefpay ()
如金额验证成功，但是绑卡失败，可再次调用此接口进行重试。
"	"720"	"722"	"724"	"求参数对象：VerifyAgencyDefpayReqBody
响应参数对象：VerifyAgencyDefpayRespBody
HTTP接口路径：/e2e/platform/verifyAgencyDefpay
SDK方法：BankCardService# verifyAgencyDefpay ()
如金额验证成功，但是绑卡失败，可再次调用此接口进行重试。
"	"726"	"求参数对象：VerifyAgencyDefpayReqBody
响应参数对象：VerifyAgencyDefpayRespBody
HTTP接口路径：/e2e/platform/verifyAgencyDefpay
SDK方法：BankCardService# verifyAgencyDefpay ()
如金额验证成功，但是绑卡失败，可再次调用此接口进行重试。
"	"该商务经理其他关注事项"	""	""	""	""	""	""	"2019-7-31 14:10:30"	"68"	"2019-7-31 16:21:47"	"66"
"16"	"85"	"29"	"1111"	"10.0"	"该商务经理行业管理经验
"	"845"	"在集团拖欠款项情况说明
"	"847"	"849"	"851"	"项目转包情况
"	"853"	"诉讼情况说明
"	"该商务经理其他关注事项
"	"2121212"	""	""	""	""	""	"2019-9-3 08:53:46"	"69"	"2019-7-31 17:49:29"	"69"
"17"	"84"	"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2019-7-31 19:40:46"	"65"
"18"	"61"	"31"	""	"1.0"	"的说法"	"1098"	"水电费"	"1100"	"1102"	"1104"	"但是"	"1106"	"第三方"	"第三方"	"算哒"	"大润发共同体"	"单方事故 "	"讽德诵功"	"讽德诵功"	""	"2019-7-31 11:56:53"	"43"	"2019-7-31 19:50:03"	"43"
"19"	"61"	"33"	"过分的话"	"11.0"	"打"	"1098"	"11"	"1100"	"1102"	"1104"	"1"	"1106"	"11"	"11"	"1"	"渔鸥已丶"	"11"	"11"	"11"	""	"2019-7-31 12:31:08"	"43"	"2019-7-31 20:25:14"	"43"
"20"	"85"	"32"	"1重庆市"	"0.0"	"11"	"845"	"11"	"847"	"849"	"851"	"11"	"853"	"11"	"11"	"阿达飒飒的"	"11"	"收到v"	"ADC"	"阿斯顿撒多"	""	"2019-7-31 12:51:20"	"69"	"2019-7-31 20:26:47"	"79"
"22"	"85"	"34"	"111"	"0.0"	"1"	"844"	"1"	"846"	"848"	"850"	"1"	"852"	""	"1"	"认为二位"	""	"风控经理审核-审核分析"	""	"WEDSA "	""	"2019-9-3 09:02:20"	"69"	"2019-7-31 21:32:18"	"79"
"24"	"1"	"19"	"大发生大"	"11.0"	"的1"	"58"	"11"	"60"	"62"	"64"	"11"	"66"	"11"	"11"	"111"	""	""	""	""	""	"2019-8-1 07:25:44"	"1"	"2019-8-1 07:24:48"	"1"
