"3"	"1"	"11"	"长江1号"	"0.00"	"2019-7-29"	""	"100000"	""	"46"	"53"	""	""	""	""	""	""	""	""	"68"	"11"	"70"	"111"	"111"	"1111"	"0"	"2019-8-7 01:54:41"	"1"	"2019-7-24 15:34:28"	"1"
"4"	"1"	"11"	"长江2号"	"90.00"	"2019-7-30"	""	"200000"	""	"46"	"54"	""	""	""	""	""	""	""	""	"68"	"1111"	"70"	"111"	"111"	"111"	"1"	"2019-8-7 01:54:41"	"1"	"2019-7-24 15:35:37"	"1"
"5"	"1"	"11"	"长江3号"	"100.00"	"2019-7-31"	""	"300000"	""	"46"	"57"	""	""	""	""	""	""	""	""	"68"	"111"	"70"	"1111"	"11"	"111"	"2"	"2019-8-7 01:54:41"	"1"	"2019-7-24 15:36:08"	"1"
"6"	"69"	"14"	"授信工程项目1"	"100.00"	"2019-7-31"	""	"10000"	""	"97"	"102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-7-29 15:09:29"	"52"	"2019-7-29 15:09:09"	"52"
"7"	"69"	"14"	"授信工程项目2"	"0.00"	"2019-8-1"	""	"20000"	""	"97"	"101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2019-7-29 15:09:45"	"52"	"2019-7-29 15:09:34"	"52"
"8"	"1"	"13"	"马家龙文体中心1期"	"30.00"	"2020-3-31"	""	"3000000"	"11111"	"46"	"54"	""	""	"2019-8-7"	"2019-9-27"	"11"	"1"	"1"	""	"69"	"12"	"71"	"12"	"12"	"12"	"0"	"2019-8-7 01:58:51"	"1"	"2019-7-29 15:14:53"	"1"
"9"	"69"	"15"	"港铁4号延长线二期"	"88.00"	"2022-7-2"	""	"3000000"	"1000001"	"97"	"100"	""	""	"2019-8-1"	"2019-8-2"	"100"	"是的范德萨的"	"大飒飒多"	""	"144"	"奥术大师多"	"146"	"水电费"	"是的方法"	"是的方法"	"0"	"2019-7-29 07:55:59"	"52"	"2019-7-29 15:25:13"	"53"
"10"	"69"	"15"	"深圳地铁6号线"	"0.00"	"2020-5-28"	""	"1000000"	"200001"	"97"	"101"	""	""	"2019-8-3"	"2019-8-4"	"200"	"安尔碘"	"奥术大师多"	""	"144"	"知识点"	"146"	"啊啊额饿啊是"	"萨达"	"萨达"	"1"	"2019-7-29 07:55:59"	"52"	"2019-7-29 15:25:47"	"53"
"11"	"69"	"16"	"授信工程项目1"	"0.00"	"2019-8-10"	""	"300000"	"3000000"	"97"	"102"	""	""	"2019-8-5"	"2019-8-6"	"300"	"11"	"11"	""	"144"	"1"	"146"	"1"	"1"	"1"	"0"	"2019-7-29 08:13:58"	"52"	"2019-7-29 16:09:07"	"53"
"12"	"69"	"16"	"授信工程项目2"	"100.00"	"2019-8-10"	""	"400000"	"4000000"	"97"	"100"	""	""	"2019-8-7"	"2019-8-8"	"400"	"11"	"11"	""	"144"	"1"	"146"	"1"	"1"	"1"	"1"	"2019-7-29 08:13:58"	"52"	"2019-7-29 16:09:25"	"53"
"13"	"66"	"17"	"深圳湾科技生态园"	"30.00"	"2020-8-31"	""	"200"	"2000000"	"333"	"337"	"支付材料款"	""	"2019-7-30"	"2019-10-30"	"1000000"	"无"	"味儿"	""	"380"	"无"	"381"	"无"	"汪汪汪"	"问我"	"0"	"2019-7-30 08:26:31"	"48"	"2019-7-30 11:50:37"	"48"
"14"	"65"	"18"	"天安云谷二期消防施工安装"	"30.00"	"2020-4-1"	""	"300"	""	"239"	"243"	"购买材料"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-7-30 13:51:08"	"46"	"2019-7-30 13:50:35"	"46"
"15"	"65"	"20"	"珠海横琴项目消防施工安装"	"35.00"	"2020-7-16"	""	"500"	""	"239"	"243"	"开商票，用于支付材料款项"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-7-30 15:36:46"	"46"	"2019-7-30 15:36:16"	"46"
"16"	"65"	"21"	"珠海三水项目"	"40.00"	"2020-7-9"	""	"400"	""	"239"	"243"	"支付材料款"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-7-30 15:50:41"	"46"	"2019-7-30 15:46:39"	"46"
"17"	"65"	"23"	"珠海横琴商场项目二期消防施工安装"	"35.00"	"2020-7-23"	""	"500"	""	"239"	"243"	"购买材料"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-7-31 10:39:07"	"46"	"2019-7-31 10:38:22"	"46"
"18"	"65"	"25"	"横琴广场大厦二期消防施工安装"	"35.00"	"2020-1-1"	""	"500"	""	"935"	"939"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-7-31 11:06:40"	"46"	"2019-7-31 11:06:22"	"46"
"19"	"84"	"26"	"项目1"	"15.00"	"2019-11-15"	""	"100000"	""	"681"	"686"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-7-31 16:18:55"	"66"	"2019-7-31 14:01:45"	"66"
"20"	"65"	"27"	"天安云谷一期消防施工项目"	"40.00"	"2020-11-1"	""	"5000000"	"3000000"	"935"	"939"	""	""	"2019-7-31"	"2019-10-30"	"500000"	"开商票"	"无违约记录"	""	"982"	"无 事故"	"983"	"wu feng xian "	"定期巡查"	"无"	"0"	"2019-7-31 10:13:07"	"46"	"2019-7-31 14:55:35"	"46"
"22"	"84"	"26"	"项目3"	"40.00"	"2019-11-7"	""	"300000"	""	"681"	"684"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2019-7-31 15:58:04"	"66"	"2019-7-31 15:57:44"	"66"
"23"	"65"	"28"	"达实大厦项目"	"50.00"	"2020-12-1"	""	"3000000"	""	"935"	"939"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-7-31 15:59:30"	"46"	"2019-7-31 15:59:03"	"46"
"24"	"85"	"29"	"港铁4号线"	"80.00"	"2019-8-10"	""	"1000000"	"111"	"808"	"811"	""	""	"2019-8-23"	"2019-8-23"	"111"	"11"	"11"	""	"855"	"法规和法国"	"857"	"法规和法国"	"发过火"	"符合规划"	"0"	"2019-8-23 01:58:09"	"69"	"2019-7-31 16:28:03"	"69"
"25"	"85"	"29"	"港铁22号线"	"0.00"	"2019-8-20"	""	"2000000"	"11"	"808"	"812"	""	""	"2019-8-23"	"2019-8-23"	"111"	"111"	"111"	""	"855"	"符合法规"	"857"	"发送过后"	"电饭锅和规范"	"符合法规"	"1"	"2019-8-23 01:58:09"	"69"	"2019-7-31 16:47:17"	"69"
"26"	"84"	"30"	"新项目"	"20.00"	"2019-12-31"	""	"3000121"	""	"681"	"684"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-7-31 19:37:07"	"65"	"2019-7-31 19:33:37"	"65"
"31"	"61"	"31"	"法规的施工方"	"99.00"	"2019-7-31"	""	"11111"	"1684756"	"1062"	"1066"	""	""	"2019-7-31"	"2019-7-31"	"458941"	"讽德诵功"	"讽德诵功"	""	"1108"	"sdf"	"1110"	"手动阀"	"算哒"	"大哥"	"0"	"2019-7-31 11:56:22"	"43"	"2019-7-31 19:48:44"	"43"
"32"	"85"	"32"	"马家龙文体1期工程"	"100.00"	"2019-6-30"	""	"1000000"	"1000001"	"808"	"811"	""	""	"2019-8-1"	"2019-8-10"	"1001"	"王企鹅我去"	"前雾灯所无"	""	"855"	"5453"	"857"	"45312"	"564532"	"3123"	"0"	"2019-7-31 12:50:30"	"69"	"2019-7-31 20:24:25"	"79"
"33"	"61"	"33"	"法规的规划"	"11.00"	"2019-7-31"	""	"1223214"	"11"	"1062"	"1066"	""	""	"2019-7-31"	"2019-7-31"	"11"	"11"	"11"	""	"1108"	"1"	"1110"	"1"	"1"	"1"	"0"	"2019-7-31 12:29:54"	"43"	"2019-7-31 20:24:32"	"43"
"34"	"85"	"32"	"马家龙文体2期工程"	"50.00"	"2020-7-31"	""	"2000000"	"2000001"	"808"	"812"	""	""	"2019-9-1"	"2019-9-10"	"2001"	"万事达"	"是的撒"	""	"855"	"52412"	"857"	"5132"	"1432"	"512"	"1"	"2019-7-31 12:50:30"	"69"	"2019-7-31 20:24:44"	"79"
"35"	"85"	"32"	"马家龙文体3期工程"	"0.00"	"2021-7-1"	""	"100000000"	"300001"	"808"	"813"	""	""	"2019-10-1"	"2019-10-10"	"3001"	"胜多负少"	"是的撒"	""	"855"	"5412"	"857"	"21五千多万"	"阿达瓦大"	"阿斯顿撒"	"2"	"2019-7-31 12:50:30"	"69"	"2019-7-31 20:25:21"	"79"
"36"	"85"	"34"	"22"	"22.00"	"2019-8-1"	""	"22"	"100"	"808"	"812"	""	""	"2019-10-1"	"2019-10-5"	"20"	"用信要求
*as大萨达"	"授信条件
*撒大声地"	""	"855"	""	"857"	"1"	"1"	"1"	"0"	"2019-9-3 08:57:11"	"69"	"2019-7-31 21:31:38"	"79"
"38"	"1"	"19"	"讽德诵功发的"	"11.00"	"2019-8-9"	""	"1231231"	""	"46"	"54"	""	""	""	""	""	""	""	""	"68"	"11"	"70"	"11"	"1"	"1"	"0"	"2019-8-1 07:25:32"	"1"	"2019-8-1 15:23:24"	"1"
"39"	"90"	"36"	"授信工程项目1"	"100.00"	"2019-8-31"	""	"10000000"	""	"1570"	"1575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-8-1 18:51:11"	"84"	"2019-8-1 18:37:50"	"84"
"46"	"90"	"37"	"授信工程项目1"	"100.00"	"2019-8-31"	""	"1000000000"	""	"1570"	"1575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-8-1 19:14:08"	"84"	"2019-8-1 19:10:31"	"84"
"47"	"90"	"37"	"授信工程项目2"	"100.00"	"2019-8-31"	""	"5000000"	""	"1570"	"1574"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2019-8-1 19:14:24"	"84"	"2019-8-1 19:14:11"	"84"
"50"	"90"	"38"	"授信工程项目1"	"100.00"	"2019-8-31"	""	"1000000"	"20000"	"1570"	"1573"	""	""	"2019-8-1"	"2019-8-30"	"100000000"	"大"	"的"	""	"1616"	"分为"	"1618"	"得我"	"得我"	"的"	"0"	"2019-8-1 12:48:16"	"94"	"2019-8-1 20:21:31"	"93"
"51"	"90"	"39"	"AWSDASDSAD"	"100.00"	"2019-7-30"	""	"2000000"	""	"1570"	"1573"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-8-1 21:04:58"	"94"	"2019-8-1 21:04:48"	"94"
"52"	"90"	"39"	"WEFSAADSD"	"201.00"	"2024-8-16"	""	"10000"	""	"1570"	"1574"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2019-8-1 21:07:22"	"94"	"2019-8-1 21:05:00"	"94"
"53"	"83"	"40"	""	""	"2019-8-2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-8-2 09:35:13"	"61"	"2019-8-2 09:35:10"	"61"
"54"	"92"	"43"	"恒大地产花园1期消防施工安装"	"25.00"	"2020-8-4"	""	"5000000"	"5000000"	"1824"	"1828"	""	""	"2019-8-2"	"2020-8-1"	"500000"	"开商票"	"符合条件"	""	"1871"	"无事故"	"1872"	"当前项目发展良好，无风险"	"定期巡查出巡查报告"	"人工保险到期关注"	"0"	"2019-8-2 03:05:50"	"90"	"2019-8-2 10:28:54"	"90"
"55"	"92"	"43"	"恒大地产花园2期消防施工安装"	"30.00"	"2020-8-4"	""	"3000000"	"3000000"	"1824"	"1828"	""	""	"2019-8-2"	"2020-8-1"	"300000"	"开商票"	"同意授信"	""	"1871"	""	"1872"	"咱无风险"	"定期巡查"	"人工保险到期关注"	"1"	"2019-8-2 03:05:50"	"90"	"2019-8-2 10:29:32"	"90"
"56"	"92"	"47"	"项目1"	"25.00"	"2020-2-1"	""	"3000000"	""	"1824"	"1828"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-8-2 13:52:54"	"90"	"2019-8-2 13:52:37"	"90"
"57"	"92"	"47"	"项目1"	"25.00"	"2020-2-1"	""	"4000000"	""	"1824"	"1828"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2019-8-2 13:53:19"	"90"	"2019-8-2 13:52:58"	"90"
"58"	"97"	"48"	"阿萨"	"12.00"	"2019-8-3"	""	"200000"	""	"2014"	"2018"	""	""	""	""	""	""	""	""	"2061"	"1"	"2063"	"1"	"1"	"1"	"0"	"2019-8-2 07:33:56"	"109"	"2019-8-2 15:14:47"	"109"
"59"	"97"	"48"	"阿瑟1"	"100.00"	"2019-8-1"	""	"60000"	""	"2014"	"2017"	""	""	""	""	""	""	""	""	"2061"	"1"	"2063"	"1"	"1"	"1"	"1"	"2019-8-2 07:33:56"	"109"	"2019-8-2 15:17:06"	"109"
"61"	"97"	"48"	"阿瑟2"	"30.00"	"2019-8-31"	""	"900"	""	"2014"	"2018"	""	""	""	""	""	""	""	""	"2061"	"1"	"2063"	"1"	"1"	"1"	"2"	"2019-8-2 07:33:56"	"109"	"2019-8-2 15:19:01"	"109"
"62"	"83"	"49"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	"2019-8-2 15:27:55"	"61"
"65"	"83"	"50"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	"2019-8-2 15:28:57"	"61"
"67"	"83"	"51"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	"2019-8-2 15:29:51"	"61"
"68"	"90"	"52"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	"2019-8-2 16:29:09"	"93"
"70"	"65"	"53"	"第一个"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	"2019-8-2 16:52:59"	"46"
"79"	"90"	"54"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	"2019-8-2 16:57:55"	"93"
"81"	"90"	"55"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"2019-8-2 16:59:22"	"93"
"82"	"90"	"55"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2019-8-2 17:00:01"	"93"
"83"	"65"	"56"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	"2019-8-2 17:48:11"	"46"
"84"	"65"	"56"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2019-8-2 17:49:20"	"46"	"2019-8-2 17:48:14"	"46"
"85"	"65"	"57"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-8-2 18:00:43"	"46"	"2019-8-2 18:00:00"	"46"
"87"	"110"	"58"	"授信工程项目1"	"100.00"	"2022-8-31"	""	"1000000"	""	"3284"	"3287"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-8-7 15:30:58"	"144"	"2019-8-7 15:30:36"	"144"
"88"	"110"	"58"	"授信工程项目2"	"100.00"	"2019-7-31"	""	"200000"	""	"3284"	"3288"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2019-8-7 15:32:49"	"144"	"2019-8-7 15:31:04"	"144"
"89"	"110"	"59"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	"2019-8-7 15:37:03"	"144"
"99"	"110"	"60"	"授信工程项目1"	"100.00"	"2019-7-31"	""	"100"	""	"3284"	"3287"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-8-7 16:37:36"	"144"	"2019-8-7 16:37:26"	"144"
"100"	"110"	"60"	"授信工程项目2"	"0.00"	"2019-8-31"	""	"200"	""	"3284"	"3288"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2019-8-7 16:37:54"	"144"	"2019-8-7 16:37:41"	"144"
"101"	"110"	"61"	"授信工程项目1"	"100.00"	"2019-7-31"	""	"100"	""	"3284"	"3288"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-8-7 16:40:59"	"144"	"2019-8-7 16:40:49"	"144"
"102"	"110"	"61"	"授信工程项目2"	"0.00"	"2019-9-2"	""	"200"	""	"3284"	"3288"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2019-8-7 16:41:16"	"144"	"2019-8-7 16:41:05"	"144"
"103"	"110"	"61"	"授信工程项目3"	"30.00"	"2019-9-3"	""	"300"	""	"3284"	"3289"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	"2019-8-7 16:41:35"	"144"	"2019-8-7 16:41:23"	"144"
"113"	"109"	"62"	"授信工程项目1"	"100.00"	"2019-7-31"	""	"60"	""	"3157"	"3161"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"2019-8-7 16:47:56"	"143"	"2019-8-7 16:47:34"	"143"
"114"	"109"	"62"	"授信工程项目2"	"80.00"	"2019-8-31"	""	"70"	""	"3157"	"3161"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2019-8-7 16:48:23"	"143"	"2019-8-7 16:48:00"	"143"
"115"	"109"	"62"	"授信工程项目3"	"70.00"	"2019-9-1"	""	"80"	""	"3157"	"3162"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	"2019-8-7 16:49:41"	"143"	"2019-8-7 16:48:31"	"143"
"117"	"109"	"62"	"授信工程项目4"	"40.00"	"2019-9-4"	""	"90"	""	"3157"	"3160"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3"	"2019-8-7 16:49:53"	"143"	"2019-8-7 16:49:06"	"143"
